Partlist

Exported from openvfo_nextion_teensy_4.0.brd at 2/11/2020 10:59 AM

EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value                 Package                     Library                Position (mm)         Orientation

C1       0.47uF                0805_3                      TARGET3001!_V20.6.0.4  (64.239 37.973)       R270
C2       0.47uF                0805_4                      TARGET3001!_V20.6.0.4  (71.351 37.846)       R90
C3       10uF                  0805_13                     TARGET3001!_V20.6.0.4  (75.923 20.828)       R270
C4       0.1u                  0805_81                     TARGET3001!_V20.6.0.4  (80.01 43.457)        R180
C5       10uF                  0805_12                     TARGET3001!_V20.6.0.4  (64.239 25.4)         R270
C6       0.1u                  0805_82                     TARGET3001!_V20.6.0.4  (80.01 33.251)        R180
C7       0.1u                  0805_83                     TARGET3001!_V20.6.0.4  (79.733 26.035)       R90
C8       1µF                   1206_84                     TARGET3001!_V20.6.0.4  (80.114 19.483)       R180
C9       100uF                 0805_95                     TARGET3001!_V20.6.0.4  (63.881 19.154)       R0
C10      1nF                   0805_23                     TARGET3001!_V20.6.0.4  (18.265 40.132)       R180
C11      0.1uF                 0805_89                     TARGET3001!_V20.6.0.4  (65.993 9.188)        R180
C12      220µF                 D8R3,81_ELKO_104            TARGET3001!_V20.6.0.4  (60.429 5.334)        R270
C14      0.1uF                 0805_96                     TARGET3001!_V20.6.0.4  (66.652 4.064)        R270
D1       SM4002                MELF_85                     TARGET3001!_V20.6.0.4  (77.781 15.366)       R180
D2       1N4007                DO41-10                     diode                  (91.217 6.525)        R270
F1       SMALLFUSE             SMALLFUSE                   000_ICS                (91.37 15.99)         R0
G1       CR2032H               CR2032H                     battery                (47.371 19.685)       R0
IC1      7805T                 TO220H                      linear                 (80.645 5.461)        R270
J1       Clk0                  SMA-EINBAUBUCHSE_67         TARGET3001!_V20.6.0.4  (95.608 44.45)        R270
J6       12v                   SL-MTA/2.54/2POL_20         TARGET3001!_V20.6.0.4  (95.913 8.99)         R270
J12      Clk1                  SMA-EINBAUBUCHSE_68         TARGET3001!_V20.6.0.4  (95.608 34.29)        R270
J13      Clk2                  SMA-EINBAUBUCHSE_69         TARGET3001!_V20.6.0.4  (95.608 24.13)        R270
J21                            MA04-1                      con-lstb               (7.366 38.227)        R180
Q1       BSS138                SOT23/3_7                   TARGET3001!_V20.6.0.4  (68.349 22.733)       R90
Q2       BSS138                SOT23/3_8                   TARGET3001!_V20.6.0.4  (64.239 44.958)       R270
R1       R_4,7KOHM_0805        0805_21                     TARGET3001!_V20.6.0.4  (8.867 45.593)        R0
R2       200 1/4w              0805_142                    TARGET3001!_V20.6.0.4  (71.986 13.97)        R90
R3       200 1/4w              0805_145                    TARGET3001!_V20.6.0.4  (67.414 13.97)        R90
R5       10K                   0805_5                      TARGET3001!_V20.6.0.4  (57.889 44.45)        R90
R6       10K                   0805_6                      TARGET3001!_V20.6.0.4  (57.889 36.957)       R90
R7       10K                   0805_9                      TARGET3001!_V20.6.0.4  (57.635 28.956)       R270
R8       10K                   0805_10                     TARGET3001!_V20.6.0.4  (71.351 44.577)       R270
R10      200 1/4w              0805_146                    TARGET3001!_V20.6.0.4  (62.842 13.97)        R90
R13      200 1/4w              0805_147                    TARGET3001!_V20.6.0.4  (58.27 13.97)         R90
U1       SI5351A               MSOP10/WB3X3/P0,5_0         TARGET3001!_V20.6.0.4  (71.351 33.655)       R270
U4       RT9193                SOT23-5_11                  TARGET3001!_V20.5.0.73 (71.628 26.162)       R270
Y1       25MHz                 CFPX-104_1                  TARGET3001!_V20.6.0.4  (64.366 31.877)       R90
